IQID,IQ Name
IQ296181,Exelon Corporation
IQ25915843,"Expedia Group, Inc."
IQ270071,"Expeditors International of Washington, Inc."
IQ8057672,Extra Space Storage Inc.
IQ406338,Exxon Mobil Corporation
IQ90323,"F5 Networks, Inc."
IQ20765463,"Facebook, Inc."
IQ270747,Fastenal Company
IQ271305,Federal Realty Investment Trust
IQ124423,FedEx Corporation
IQ10081196,"Fidelity National Information Services, Inc."
IQ49068649,"Fitbit, Inc."
IQ124423,FedEx Corporation
IQ272383,First Republic Bank
IQ128209,"Fiserv, Inc."
IQ28756,"FLEETCOR Technologies, Inc."
IQ327408,"FLIR Systems, Inc."
IQ28606,FMC Corporation
IQ106335,Ford Motor Company
IQ2689126,"Fortinet, Inc."
IQ318505463,Fortive Corporation
IQ33174798,"Fortune Brands Home & Security, Inc."
IQ546623668,Fox Corporation
IQ546623668,Fox Corporation
IQ28703,"Franklin Resources, Inc."
IQ273607,Freeport-McMoRan Inc.
IQ274265,"The Gap, Inc."
IQ598655,Garmin Ltd.
IQ130705,"Gartner, Inc."
IQ78749412,Generac Holdings Inc.
IQ274561,General Dynamics Corporation
IQ177031,General Electric Company
IQ274715,"General Mills, Inc."
IQ61206100,General Motors Company
IQ275034,Genuine Parts Company
IQ29002,"Gilead Sciences, Inc."
IQ704674,Glencore plc
IQ813574,Global Payments Inc.
IQ398625,"The Goldman Sachs Group, Inc."
IQ276060,"W.W. Grainger, Inc."
IQ177698,Halliburton Company
IQ4212820,Hanesbrands Inc.
IQ341546,"The Hartford Financial Services Group, Inc."
IQ277746,"Hasbro, Inc."
IQ261825,"HCA Healthcare, Inc."
IQ277966,"Healthpeak Properties, Inc."
IQ339447,"Henry Schein, Inc."
IQ98873,The Hershey Company
IQ249841,Hess Corporation
IQ273983758,Hewlett Packard Enterprise Company
IQ29470,Hilton Worldwide Holdings Inc.
IQ178254,HollyFrontier Corporation
IQ108544,"Hologic, Inc."
IQ278679,"The Home Depot, Inc."
IQ1340740,Honeywell International Inc.
IQ279042,Hormel Foods Corporation
IQ29574,"Host Hotels & Resorts, Inc."
IQ416264458,Howmet Aerospace Inc.
IQ108856,HP Inc.
IQ29618,Humana Inc.
IQ278614,Huntington Bancshares Incorporated
IQ363263,"Huntington Ingalls Industries, Inc."
IQ29728,IDEX Corporation
IQ29729,"IDEXX Laboratories, Inc."
IQ13651733,IHS Markit Ltd.
IQ280561,Illinois Tool Works Inc.
IQ29753,"Illumina, Inc."
IQ332954,Incyte Corporation
IQ113212991,Iron
IQ21127,Intel Corporation
IQ1081952,"Intercontinental Exchange, Inc."
IQ112350,International Business Machines Corporation
IQ61036,International Paper Company
IQ108616,"The Interpublic Group of Companies, Inc."
IQ281407,International Flavors & Fragrances Inc.
IQ21171,Intuit Inc.
IQ30239,"Intuitive Surgical, Inc."
IQ384779,Invesco Ltd.
IQ427949,IPG Photonics Corporation
IQ137473239,IQVIA Holdings Inc.
IQ30292,Iron Mountain Incorporated
IQ277617,"Jack Henry & Associates, Inc."
IQ139677,Johnson & Johnson
IQ278576,"J.B. Hunt Transport Services, Inc."
IQ303591,The J. M. Smucker Company
IQ139677,Johnson & Johnson
IQ282590,Johnson Controls International plc
IQ658776,JPMorgan Chase & Co.
IQ30439,"Juniper Networks, Inc."
IQ30472,Kansas City Southern
IQ21401,KKR & Co. Inc.
IQ329376,KeyCorp
IQ247017859,"Keysight Technologies, Inc."
IQ283857,Kimberly-Clark Corporation
IQ320371,Kimco Realty Corporation
IQ34952431,"Kinder Morgan, Inc."
IQ282225,KLA Corporation
IQ278212,The Kraft Heinz Company
IQ284342,The Kroger Co.
IQ285544,"L Brands, Inc."
IQ177934,"L3Harris Technologies, Inc."
IQ30643,Laboratory Corporation of America Holdings
IQ30655,Lam Research Corporation
IQ374372246,"Lamb Weston Holdings, Inc."
IQ3632895,Las Vegas Sands Corp.
IQ30760,"Leggett & Platt, Incorporated"
IQ110741,"Leidos Holdings, Inc."
IQ30763,Lennar Corporation
IQ285467,Eli Lilly and Company
IQ867423,Lincoln National Corporation
IQ318049,Linde plc
IQ384687,"Live Nation Entertainment, Inc."
IQ4303924,LKQ Corporation
IQ285827,Lockheed Martin Corporation
IQ58995029,"Lyft, Inc."
IQ180871,"Lowe's Companies, Inc."
IQ260149,"Lumen Technologies, Inc."
IQ792424,LyondellBasell Industries N.V.
IQ272285,M&T Bank Corporation
IQ314842,Marathon Oil Corporation
IQ118315802,Marathon Petroleum Corporation
IQ109450,MarketAxess Holdings Inc.
IQ31148,"Marriott International, Inc."
IQ473342,"Marsh & McLennan Companies, Inc."
IQ31153,"Martin Marietta Materials, Inc."
IQ181478,Masco Corporation
IQ6477196,Mastercard Incorporated
IQ181176,"McCormick & Company, Incorporated"
IQ95673,"Maxim Integrated Products, Inc."
IQ139488,McDonald's Corporation
IQ288195,McKesson Corporation
IQ31348,Medtronic plc
IQ288502,"Merck & Co., Inc."
IQ185648,"MetLife, Inc."
IQ31468,Mettler-Toledo International Inc.
IQ286798,MGM Resorts International
IQ31500,Microchip Technology Incorporated
IQ289030,"Micron Technology, Inc."
IQ21835,Microsoft Corporation
IQ332358,"Mid-America Apartment Communities, Inc."
IQ31670,"Mohawk Industries, Inc."
IQ263765,Molson Coors Beverage Company
IQ739693,"Mondelez International, Inc."
IQ3051626,"Monolithic Power Systems, Inc."
IQ343729,Monster Beverage Corporation
IQ528325,Moody's Corporation
IQ21835,Microsoft Corporation
IQ890498,The Mosaic Company
IQ99186,"Motorola Solutions, Inc."
IQ7844318,MSCI Inc.
IQ740535,"Nasdaq, Inc."
IQ32052,"NetApp, Inc."
IQ32012,"Netflix, Inc."
IQ291703,Newell Brands Inc.
IQ291795,Newmont Corporation
IQ212741644,News Corporation
IQ212741644,News Corporation
IQ270586,"NextEra Energy, Inc."
IQ422760,Nielsen Holdings plc
IQ291981,"NIKE, Inc."
IQ53839770,Nickel
IQ292268,Norfolk Southern Corporation
IQ291896,Northern Trust Corporation
IQ97199,Northrop Grumman Corporation
IQ35000,NortonLifeLock Inc.
IQ4180463,Norwegian Cruise Line Holdings Ltd.
IQ382553,Novartis AG
IQ413857,"NRG Energy, Inc."
IQ184945,Nucor Corporation
IQ32307,NVIDIA Corporation
IQ182505,"NVR, Inc."
IQ934467,NXP Semiconductors N.V.
IQ324289,"O'Reilly Automotive, Inc."
IQ293286,Occidental Petroleum Corporation
IQ319404,"Old Dominion Freight Line, Inc."
IQ96161,Omnicom Group Inc.
IQ293889,"ONEOK, Inc."
IQ22247,Oracle Corporation
IQ159264,Otis Worldwide Corporation
IQ294721,PACCAR Inc
IQ98885,Packaging Corporation of America
IQ295170,Parker-Hannifin Corporation
IQ295368,"Paychex, Inc."
IQ254225545,"Paycom Software, Inc."
IQ112732,"PayPal Holdings, Inc."
IQ335919,"Penn National Gaming, Inc."
IQ295688,Pentair plc
IQ295774,"People's United Financial, Inc."
IQ32854,"PepsiCo, Inc."
IQ268363,"PerkinElmer, Inc."
IQ319092,Perrigo Company plc
IQ162270,Pfizer Inc.
IQ6569181,Philip Morris International Inc.
IQ27306532,Phillips 66
IQ296957,Pinnacle West Capital Corporation
IQ295224,Pioneer Natural Resources Company
IQ294585,"The PNC Financial Services Group, Inc."
IQ34117,Pool Corporation
IQ294639,"PPG Industries, Inc."
IQ881430,Pembina Pipeline Corporation
IQ201105,"Principal Financial Group, Inc."
IQ33328,The Procter & Gamble Company
IQ33352,The Progressive Corporation
IQ330123,"Prologis, Inc."
IQ1038328,"Prudential Financial, Inc."
IQ298482,Public Service Enterprise Group Incorporated
IQ305520,Public Storage
IQ294550,"PulteGroup, Inc."
IQ296568,PVH Corp.
IQ33821,"Qorvo, Inc."
IQ33509,"Quanta Services, Inc."
IQ33493,QUALCOMM Incorporated
IQ361335,Quest Diagnostics Incorporated
IQ362220,Ralph Lauren Corporation
IQ22623,"Raymond James Financial, Inc."
IQ159230,Raytheon Technologies Corporation
IQ22247,Oracle Corporation
IQ33715,"Regeneron Pharmaceuticals, Inc."
IQ33715,"Regeneron Pharmaceuticals, Inc."
IQ126849,Eurazeo SE
IQ386225,"Republic Services, Inc."
IQ340196,ResMed Inc.
IQ276703,Robert Half International Inc.
IQ8690249,"Roku, Inc."
IQ300753,"Rollins, Inc."
IQ22751,"Roper Technologies, Inc."
IQ33926,"Ross Stores, Inc."
IQ325643,Royal Caribbean Group
IQ21719,S&P Global Inc.
IQ122917,"salesforce.com, inc."
IQ34071,SBA Communications Corporation
IQ301966,Schlumberger Limited
IQ3738520,Seagate Technology plc
IQ382724,Sealed Air Corporation
IQ120622,Sempra Energy
IQ22967487,"ServiceNow, Inc."
IQ303104,The Sherwin-Williams Company
IQ34378,"Simon Property Group, Inc."
IQ1462309,"Skyworks Solutions, Inc."
IQ224055283,Snap Inc.
IQ59493029,Soybean
IQ31726,Southwest Airlines Co.
IQ304977,"Stanley Black & Decker, Inc."
IQ34745,Starbucks Corporation
IQ188785,State Street Corporation
IQ113213000,Steel
IQ94614,Stryker Corporation
IQ187662,SVB Financial Group
IQ260334235,Synchrony Financial
IQ35028,"Synopsys, Inc."
