year,ID,lead_rating,rating,IQ_TOTAL_REV,IQ_NI_CF,IQ_AR,IQ_GP ,IQ_TOTAL_ASSETS,IQ_AP,IQ_TOTAL_LIAB,IQ_TOTAL_DEBT,IQ_CASH_FINAN,IQ_TOTAL_EQUITY,IQ_CASH_EQUIV
2014,AIG,0.0,0.0,-1038.5,-389.0,-638.5,-4.25,-12350.0,-3312.5,-19806.0,-6610.5,-2007.5,7456.0,180.0
2012,AME,0.0,0.0,86.07474999999988,18.666999999999987,53.54899999999998,36.486500000000035,773.3750000000009,31.41550000000001,405.75525000000016,257.10924999999975,35.67025,367.61974999999984,-9.133499999999998
2013,AME,0.0,0.0,64.98075000000006,14.466750000000019,41.922000000000025,22.603250000000003,532.1925000000001,38.220249999999965,29.543249999999716,-103.82175000000007,-61.20575,502.64924999999994,57.823999999999984
2014,AME,0.0,0.0,106.957,16.865250000000003,61.487499999999955,43.338250000000016,964.9342499999993,41.901500000000055,476.8555000000006,269.6672500000002,23.60575,488.0787500000001,90.07600000000002
2012,AMGN,0.0,0.0,432.0,165.5,14.75,251.5,6734.0,120.0,10760.25,9566.0,273.25,-4026.25,258.75
2013,AMGN,0.0,0.0,379.25,184.0,-85.25,276.0,4056.5,17.5,2348.0,2082.5,576.75,1708.5,321.5
2014,AMGN,1.0,1.0,346.75,19.25,-114.25,103.75,12218.5,63.25,8639.25,5480.75,-1400.75,3579.25,-1243.75
2012,ADI,-1.0,-1.0,390.25,-21.75,165.5,193.75,1190.75,41.5,412.25,134.75,135.5,778.5,478.25
2013,ADI,0.0,0.0,-967.5,67.5,-91.0,-404.0,-289.0,-19.25,-262.0,-305.25,-119.0,-27.0,160.0
2014,ADI,0.0,0.0,880.25,-76.5,48.0,358.75,367.0,-58.0,229.0,208.5,79.0,138.0,-55.0
2013,APA,0.0,0.0,-312.75,57.75,52.0,-275.75,4254.25,296.0,1592.0,953.5,-1439.5,2662.25,626.25
2014,APA,0.0,0.0,-807.5,-1908.75,-715.25,-644.75,-1946.0,-19.5,-1473.5,-1097.25,44.75,-472.5,-35.75
2013,AMAT,0.0,0.0,-302.5,36.75,-232.25,-83.25,-1423.25,57.0,-211.75,-1.0,308.75,-1211.5,40.25
2014,AMAT,0.0,0.0,390.75,204.0,307.5,212.5,894.0,97.25,347.25,0.75,42.75,546.75,950.25
2013,ADM,0.0,0.0,-41.20000000000073,-31.5,1201.4499999999998,40.85000000000002,24849.2,1043.4,12919.95,3730.1,-519.7,11929.25,1810.45
2014,ADM,0.0,0.0,-2150.75,226.5,543.75,219.75,-368.0,29.25,-973.75,-1911.25,-83.75,605.75,-329.5
2014,ADSK,0.0,0.0,-9.575000000000045,-4.649999999999999,-33.22500000000002,-18.52499999999992,749.7500000000005,-5.400000000000006,649.425,532.2,-166.975,100.32500000000005,484.8250000000003
2013,ADP,0.0,0.0,167.87499999999955,4.324999999999989,257.8000000000002,60.899999999999864,1302.5999999999985,5.250000000000028,1135.9000000000015,159.85000000000002,1276.225,166.70000000000073,14.400000000000091
2014,ADP,0.0,0.0,-901.6999999999998,-44.67500000000001,65.94999999999982,-394.1749999999997,137.72499999999854,0.19999999999998863,63.075000000004366,1069.2749999999999,696.2,74.65000000000055,-91.09999999999991
2012,AVY,0.0,0.0,-40.70000000000027,24.649999999999995,-59.600000000000136,1.6999999999999886,-92.85000000000036,23.675000000000068,44.22499999999991,-91.875,-1.8000000000000114,-137.07499999999982,58.67499999999998
2013,AVY,0.0,0.0,69.125,-11.524999999999991,38.0,27.375,-166.125,56.07499999999993,-104.44999999999982,-112.72500000000014,42.275000000000006,-61.674999999999955,75.57500000000002
2014,AVY,0.0,0.0,47.575000000000045,3.75,44.075000000000045,3.374999999999943,-403.4249999999993,16.524999999999977,-184.4749999999999,-73.14999999999986,-3.5250000000000057,-218.95000000000027,-62.67500000000001
2012,BLL,0.0,0.0,26.200000000000273,-10.125,27.225000000000136,2.999999999999943,-106.60000000000036,47.874999999999886,121.625,34.15000000000009,-67.525,-228.2249999999999,-27.049999999999983
2013,BLL,0.0,0.0,-66.90000000000055,0.8250000000000028,-67.375,7.75,272.7999999999993,81.32500000000016,335.9250000000011,265.5499999999993,70.72500000000001,-63.12500000000023,94.025
2014,BLL,0.0,0.0,25.475000000000364,15.799999999999997,-51.875000000000114,18.44999999999999,-104.84999999999945,203.375,-141.17499999999927,-249.4749999999999,-160.325,36.325000000000045,-62.525000000000006
2012,BK,1.0,1.0,-23.5,-17.75,0.0,-23.5,27695.75,23054.25,25895.25,3877.25,-12619.25,1800.5,1364.5
2013,BK,1.0,1.0,112.0,-85.25,0.0,112.0,33382.25,29648.25,32056.5,750.75,-3166.75,1325.75,3894.75
2014,BK,0.0,0.0,164.25,115.75,0.0,164.25,19416.25,16047.0,17754.75,5983.25,-1948.0,1661.5,7532.25
2013,BAX,1.0,1.0,-677.5,-226.0,255.75,-384.0,4274.5,230.75,3573.5,2702.5,-33.75,701.0,675.25
2014,BAX,1.0,1.0,-190.25,151.75,2.5,-294.0,2012.0,70.5,1158.5,644.5,-24.25,853.5,-1217.25
2013,BDX,1.0,1.0,86.5,30.75,23.764000000000124,54.499999999999886,500.1970000000001,-4.25,189.3407499999994,-101.14824999999973,-149.5,310.8562499999998,106.9827499999999
2014,BDX,1.0,1.0,94.5,-27.0,-60.83275000000003,33.75,527.6482500000002,17.0,26.09100000000035,-100.08674999999994,40.25,501.55724999999984,-215.35449999999992
2012,BRK.B,1.0,1.0,4646.75,1142.5,2046.5,1763.25,34238.0,2448.0,14549.25,3520.25,352.75,19688.75,2665.75
2013,BRK.B,0.0,0.0,4271.0,1163.0,1644.5,1669.5,39398.0,2869.75,14307.0,4240.75,441.75,25091.0,24.75
2014,BRK.B,1.0,1.0,3253.25,99.0,-493.75,-38.5,52669.0,628.75,25827.0,9209.25,442.5,26842.0,13191.0
2013,BBY,1.0,1.0,-1281.0918149999998,-244.2727175,2233.75,-455.6593025000002,16550.75,6667.5,12485.5,2140.25,95.20455,4065.25,1050.25
2014,BBY,2.0,2.0,-709.1581850000002,253.2727175,-1094.75,-186.3406974999998,-2376.75,-1306.5,-2033.0,-467.75,137.29545000000002,-343.75,866.25
2012,BIO,-1.0,-1.0,-1.0734999999999673,-3.1865000000000023,-5.299249999999972,-5.7727500000000305,270.9180000000001,-0.32974999999999,54.385750000000144,-1.7110000000000127,56.53699999999999,216.53224999999998,-165.83100000000002
2013,BIO,0.0,0.0,15.864749999999958,-21.921750000000003,10.919499999999971,5.920000000000016,126.38349999999991,13.924999999999983,-66.00675000000001,-147.2059999999999,-81.07125000000002,192.3902499999997,-130.29299999999995
