year,ID,rating,IQ_TOTAL_REV,IQ_NI_CF,IQ_AR,IQ_GP ,IQ_TOTAL_ASSETS,IQ_AP,IQ_TOTAL_LIAB,IQ_TOTAL_DEBT,IQ_CASH_FINAN,IQ_TOTAL_EQUITY,IQ_CASH_EQUIV
2014,PH,0.1698196717294771,-0.043278100245488525,0.024085930278758442,-0.05861724036140473,-0.023458894585073324,-0.1858239970873485,-0.14221876403777128,-0.21897143277025682,0.013587095153995296,-0.15945588203716551,0.012041332420464276,0.14536303330492176
2012,PPL,0.4436949245549362,0.24954328134450102,0.007075250229501147,-0.00802790014599021,-0.020040127085480447,0.06348864295340936,-0.1265998561601198,-0.08516308031910469,0.08925855410415368,0.008755079516879899,0.4658380020743848,0.015920655645717947
2013,PPL,0.1698196717294771,0.2169736161815009,0.04114376682196024,-0.012571347667477644,0.03173171958686421,-0.12363540503079261,-0.12346360441261917,-0.19512155431165928,-0.0177184658106737,-0.004169021641685013,0.15322409874982162,0.02523824250439681
2014,PPL,0.1698196717294771,0.11957267946907967,-0.006986611236474278,-0.08096172069560643,-0.062394930741274994,-0.14573620732192435,-0.1386321733260703,-0.1831186133861106,0.007815817361140835,0.07450967828552953,0.04289105023094023,0.04806799695269599
2012,PEP,0.1698196717294771,-0.2721074439384284,-0.15922007538296046,-0.12053935719264694,-0.421827395482681,-0.3177269749768474,-0.10307155112577603,-0.12774292246380817,0.14433003236290554,0.176781990897398,-0.7040072462940381,0.21112198733214033
2013,PEP,0.1698196717294771,0.09314606873315141,0.26467579952998255,-0.023359701047650346,0.33425039575776744,-0.034980964467704614,-0.0784529278304597,-0.06076805638055696,0.2046099431726525,-0.054355435064126816,0.059688973547594136,0.5316360898860782
2014,PEP,0.1698196717294771,-0.030492717209941494,-0.13974239310159184,-0.017822089356706407,0.18364775523274468,-0.22259280778554344,-0.044567351164037095,-0.03406737476289076,0.3096149100722567,-0.4534473920011541,-0.6560352155182861,-0.05719698396582159
2012,PFE,0.1698196717294771,-2.082330279349514,4.2304344261339,-1.0353310924123078,-3.0976510550435497,-1.1458710356297401,-0.241901003515557,-0.5654555713622653,-0.37026024871952873,0.05121598440618901,-2.2312454350744866,0.3770305114416529
2013,PFE,0.1698196717294771,-0.6611449062723436,3.786548298353237,-0.6397718886846847,-1.31230928742424,-0.7941243725921074,-0.1936079370797163,-0.5410652732080746,-0.14194135874129807,0.09630377813830307,-1.108067486220347,-0.39995701142747886
2014,PFE,0.1698196717294771,-0.45463981952159,-8.11175272263122,-0.809917722404472,-0.8622525593436486,-0.9856641898775109,-0.11293298829804761,-0.7317244176598858,-0.09589743716396884,0.6966412534406199,-1.1986127661732935,0.139632655832576
2012,EXC,0.1698196717294771,0.754188860141871,-0.7076706027793921,0.5260582431911014,-0.269035763089562,1.9766639231175793,0.0037956545425289123,1.5571829813483489,0.8516686254232244,-0.02996203889863717,2.1399937743745325,0.09920842659087878
2013,EXC,0.1698196717294771,0.18299654523530748,0.2631380877709271,-0.13226606430288115,0.2856547762860304,-0.1846526661682,-0.14335657106356636,-0.10718576051038374,0.09762667804184035,0.019824482783386766,-0.3123642040444109,0.014256350891497224
2014,EXC,0.1698196717294771,0.39856218423837936,-0.07259564628950535,0.0688252465133576,-0.27910512568280477,0.13966629425198754,-0.10618384867305324,0.04191273595640716,0.20903202157182313,0.11759801331555426,0.3513003053210956,0.09132516193911414
2013,PVH,0.1698196717294771,-0.052318266255239554,0.057670580237701455,-0.07062766863533394,-0.009546537868200422,-0.26174503589008036,-0.14488841594062793,-0.2323809771553417,-0.03050219019057778,0.0767566699749375,-0.2064581564363463,0.04786317605831909
2014,PVH,0.1698196717294771,0.32351079850984865,-0.17220861404111515,0.057534382017387024,0.3492099661843369,0.12976023907146356,-0.12192857729873963,0.11772605274225659,0.3286312436345007,0.09090374004863534,0.09493993236811672,0.05318661149007946
2013,PG,0.1698196717294771,-3.8880228386344395,-0.6994694733977632,0.10639414151466356,-4.3186707190676445,0.09089584290904697,-0.06803197649238546,-0.019364934540773676,-0.05958984609709424,0.5951687243095871,0.3656456392829764,0.2872908823236197
2014,PG,0.1698196717294771,3.127487265733485,1.1073418434923503,-0.19155108358239864,3.39446102735634,0.11182990070150098,-0.1540922491199046,-0.03671906487437973,0.4896012589507804,-0.29429047931484464,0.487735228861779,0.23970332127506785
2012,PEG,0.1698196717294771,-0.3260932344418247,-0.14025496368794366,-0.14953038310405933,-0.2834831094189973,-0.17529818481191906,-0.15174928355060602,-0.16709820441551085,-0.08375611664694774,0.10560126110301839,-0.10458823795136331,0.012816485201677198
2013,PEG,-1.062618941336319,-0.045782399135728555,-0.03979112876298982,0.02865041659866627,-0.0431318023020279,-0.13797107959413774,-0.14143324111861977,-0.1179763014591161,0.021404010898241416,0.03132137032040033,-0.12209571542097052,-0.024979989156098493
2014,PEG,-0.24099319929245486,0.09220226120686825,0.11756804124701441,0.002699648086203492,0.053621638267826816,-0.11006657088814428,-0.14097863585890513,-0.10647689285681738,0.05127243517334125,-0.01766536788078789,-0.06108948335727317,0.05187284203804541
2012,PHM,0.1698196717294771,0.04790144601517916,0.19011369404514447,-0.05859280972159186,0.018609151136000777,-0.3127375625410188,-0.14830208180546056,-0.2694597175104372,-0.0625062455915087,-0.018483946273423254,-0.2707482359700919,0.05517978156785508
2013,PHM,-0.7887436885108597,0.08117802301536506,1.2139416609065217,-0.07744468578812869,0.08763419391430653,-0.21503157142324078,-0.1447715124496105,-0.2962909095394322,-0.13316601568927372,-0.027206084996612364,0.13996345713654257,0.03172519740345849
2014,PHM,-1.884244683380183,-0.05413150927473453,-1.1232515576405362,-0.0678886138801231,0.0012745245325464767,-0.20487094720153573,-0.13763833628906336,-0.2725771336703192,-0.07553904159773801,0.006977760676592702,0.10481530654274641,-0.005258868735478515
2013,RJF,0.1698196717294771,0.05106301246672242,0.013149724248356377,0.004662894301575417,0.19625197040924294,-0.03385327265818452,-0.011848606320760867,0.00706107398831434,-0.015602384926186237,-0.13241860162990315,-0.13573697113694796,0.06040944574656588
2014,RJF,0.1698196717294771,-0.012970930484494641,0.03457978789313899,-0.13319160551961848,0.06262933980504246,-0.26398618344162017,-0.3549289147546086,-0.24674155938793643,0.014076316669524492,0.05476792281751558,-0.17188497608279693,0.05689908919142689
