year,ID,lead_rating
2013,LEG,0.0
2014,LEG,0.0
2012,LEN,1.0
2013,LEN,0.0
2014,LEN,-1.0
2012,LLY,1.0
2013,LLY,0.0
2014,LLY,0.0
2014,LB,0.0
2012,LNC,0.0
2013,LNC,0.0
2014,LNC,0.0
2012,LMT,0.0
2013,LMT,0.0
2014,LMT,0.0
2013,LOW,1.0
2014,LOW,0.0
2012,MRO,1.0
2013,MRO,1.0
2014,MRO,0.0
2012,HST,0.0
2013,HST,0.0
2014,HST,-1.0
2013,MMC,-1.0
2014,MMC,-2.0
2013,MAS,1.0
2014,MAS,0.0
2012,MKC,0.0
2013,MKC,0.0
2014,MKC,0.0
2013,MCD,0.0
2014,MCD,0.0
2013,MCK,0.0
2014,MCK,0.0
2013,CVS,0.0
2014,CVS,0.0
2013,MRK,0.0
2014,MRK,0.0
2013,MU,-1.0
2014,MU,0.0
2013,ETR,0.0
2014,ETR,0.0
2012,MMM,0.0
2013,MMM,0.0
2014,MMM,0.0
2013,MSI,0.0
2014,MSI,0.0
2012,BAC,1.0
2013,BAC,1.0
2014,BAC,0.0
2013,NWL,0.0
2014,NWL,0.0
2012,NEM,0.0
2013,NEM,0.0
2014,NEM,1.0
2013,NKE,0.0
2014,NKE,-1.0
2012,NSC,0.0
2013,NSC,0.0
2014,NSC,0.0
2013,ES,-2.0
2014,ES,-1.0
2012,NTRS,1.0
2013,NTRS,1.0
2014,NTRS,0.0
2012,NOC,0.0
2013,NOC,0.0
2014,NOC,0.0
2012,NUE,0.0
2013,NUE,0.0
2014,NUE,0.0
2013,OXY,0.0
2014,OXY,0.0
2013,FE,0.0
2014,FE,0.0
2012,OKE,0.0
2013,OKE,0.0
2014,OKE,0.0
2012,PNC,1.0
2013,PNC,1.0
2014,PNC,0.0
2012,PPG,0.0
2013,PPG,0.0
2014,PPG,0.0
2012,PCAR,1.0
2013,PCAR,0.0
2014,PCAR,0.0
2012,SRE,0.0
2013,SRE,0.0
2014,SRE,0.0
2013,PH,0.0
2014,PH,0.0
2012,PPL,1.0
2013,PPL,1.0
2014,PPL,0.0
2012,PEP,1.0
2013,PEP,0.0
2014,PEP,0.0
2012,PFE,0.0
2013,PFE,0.0
2014,PFE,0.0
2012,EXC,0.0
2013,EXC,0.0
2014,EXC,0.0
2013,PVH,0.0
2014,PVH,0.0
2013,PG,0.0
2014,PG,0.0
2012,PEG,0.0
2013,PEG,0.0
2014,PEG,-1.0
2012,PHM,1.0
2013,PHM,0.0
2014,PHM,-1.0
2013,RJF,0.0
2014,RJF,0.0
2013,ROST,-1.0
2014,ROST,-1.0
2012,SEE,1.0
2013,SEE,2.0
2014,SEE,1.0
2012,SHW,-1.0
2013,SHW,0.0
2014,SHW,0.0
2013,SJM,0.0
2014,SJM,0.0
2012,KEY,0.0
2013,KEY,0.0
2014,KEY,0.0
2012,EIX,0.0
2013,EIX,0.0
2014,EIX,0.0
2012,LUV,1.0
2013,LUV,1.0
2014,LUV,0.0
2012,T,1.0
2013,T,0.0
2014,T,0.0
2012,SWK,0.0
2013,SWK,0.0
2014,SWK,0.0
2012,STT,0.0
2013,STT,0.0
2014,STT,0.0
2012,PSA,-1.0
2013,PSA,0.0
2014,PSA,0.0
2012,SYK,0.0
2013,SYK,0.0
2014,SYK,0.0
2013,SYY,0.0
2014,SYY,1.0
2012,AEE,0.0
2013,AEE,0.0
2014,AEE,-1.0
2013,LNT,0.0
2014,LNT,-1.0
2013,MS,1.0
2014,MS,0.0
2013,MSFT,0.0
2014,MSFT,0.0
2013,ORCL,-1.0
2014,ORCL,-1.0
2012,NVR,0.0
2013,NVR,0.0
2014,NVR,0.0
2013,ADBE,0.0
2014,ADBE,-1.0
2012,FISV,1.0
2013,FISV,0.0
2014,FISV,0.0
2013,PGR,0.0
2014,PGR,0.0
2012,DRE,1.0
2013,DRE,0.0
2014,DRE,0.0
2012,XRAY,-1.0
2013,XRAY,1.0
2014,XRAY,0.0
2012,SCHW,0.0
2013,SCHW,0.0
2014,SCHW,0.0
2013,MXIM,-1.0
2014,MXIM,-1.0
2012,FRC,-1.0
2013,FRC,-1.0
2014,FRC,0.0
2012,APH,-1.0
2013,APH,0.0
2014,APH,0.0
2012,PXD,-1.0
2013,PXD,-1.0
2014,PXD,0.0
2012,MGM,-1.0
2013,MGM,-1.0
2014,MGM,-2.0
2013,FCX,-1.0
2014,FCX,0.0
2012,CINF,1.0
2013,CINF,0.0
2014,CINF,0.0
2012,DVN,0.0
2013,DVN,0.0
2014,DVN,0.0
2012,LH,0.0
2013,LH,0.0
2014,LH,1.0
2012,IEX,0.0
2013,IEX,0.0
2014,IEX,0.0
2014,ABBV,0.0
2012,PBCT,0.0
2013,PBCT,0.0
2014,PBCT,0.0
