,IQ Name,IQID,IQ_TOTAL_REV,IQ_NI_CF,IQ_AR,IQ_GP ,IQ_TOTAL_ASSETS,IQ_AP,IQ_TOTAL_LIAB,IQ_TOTAL_DEBT,IQ_CASH_FINAN,IQ_TOTAL_EQUITY,IQ_CASH_EQUIV,year,quarter
17,"Fidelity National Information Services, Inc.",IQ10081196,1555.0,111.0,1163.1,485.0,14500.0,798.4,8017.6,5196.4,-98.0,6482.4,489.0,2015,1
18,"Fidelity National Information Services, Inc.",IQ10081196,1587.0,240.0,1162.2,517.0,14303.5,794.6,7772.2,5043.3,-387.0,6531.3,446.4,2015,2
19,"Fidelity National Information Services, Inc.",IQ10081196,1579.0,175.0,1154.8,557.0,14187.8,714.4,7583.6,4970.4,-127.0,6604.2,441.5,2015,3
20,"Fidelity National Information Services, Inc.",IQ10081196,1875.0,106.0,1731.0,642.0,26200.0,564.0,16793.0,11445.0,1627.0,9407.0,682.0,2015,4
21,"Fidelity National Information Services, Inc.",IQ10081196,2181.0,55.0,1727.0,628.0,26430.0,1182.0,16941.0,11304.0,-239.0,9489.0,702.0,2016,1
22,"Fidelity National Information Services, Inc.",IQ10081196,2305.0,121.0,1646.0,705.0,26384.0,1145.0,16777.0,11130.0,-222.0,9607.0,765.0,2016,2
23,"Fidelity National Information Services, Inc.",IQ10081196,2309.0,185.0,1649.0,782.0,26134.0,1159.0,16378.0,10789.0,-430.0,9756.0,701.0,2016,3
24,"Fidelity National Information Services, Inc.",IQ10081196,2446.0,207.0,1639.0,893.0,26031.0,512.0,16186.0,10478.0,-418.0,9845.0,683.0,2016,4
25,"Fidelity National Information Services, Inc.",IQ10081196,2148.0,129.0,1596.0,657.0,25086.0,1258.0,15096.0,9505.0,-1114.0,9990.0,705.0,2017,1
26,"Fidelity National Information Services, Inc.",IQ10081196,2258.0,140.0,1456.0,738.0,24970.0,959.0,14965.0,9712.0,124.0,10005.0,786.0,2017,2
27,"Fidelity National Information Services, Inc.",IQ10081196,2096.0,58.0,1598.0,710.0,24294.0,1054.0,14205.0,9109.0,-943.0,10089.0,720.0,2017,3
28,"Fidelity National Information Services, Inc.",IQ10081196,2166.0,934.0,1732.0,769.0,24526.0,776.0,13706.0,8763.0,-547.0,10820.0,665.0,2017,4
29,"Fidelity National Information Services, Inc.",IQ10081196,2066.0,182.0,1669.0,652.0,24405.0,1008.0,13794.0,9076.0,-173.0,10611.0,725.0,2018,1
30,"Fidelity National Information Services, Inc.",IQ10081196,2106.0,212.0,1517.0,692.0,23868.0,925.0,13324.0,8892.0,-316.0,10544.0,683.0,2018,2
31,"Fidelity National Information Services, Inc.",IQ10081196,2084.0,154.0,1513.0,720.0,23694.0,998.0,13528.0,9038.0,-305.0,10166.0,632.0,2018,3
32,"Fidelity National Information Services, Inc.",IQ10081196,2167.0,298.0,1595.0,790.0,23770.0,687.0,13548.0,8985.0,-442.0,10222.0,703.0,2018,4
33,"Fidelity National Information Services, Inc.",IQ10081196,2057.0,148.0,1574.0,676.0,24073.0,959.0,14170.0,9660.0,-275.0,9903.0,576.0,2019,1
34,"Fidelity National Information Services, Inc.",IQ10081196,2112.0,154.0,1488.0,708.0,32859.0,925.0,22867.0,18668.0,8790.0,9992.0,9756.0,2019,2
35,"Fidelity National Information Services, Inc.",IQ10081196,2822.0,154.0,3218.0,984.0,83718.0,2014.0,34506.0,20747.0,76.0,49212.0,1305.0,2019,3
36,"Fidelity National Information Services, Inc.",IQ10081196,3342.0,-158.0,3366.0,1355.0,83806.0,1386.0,34350.0,20787.0,-1010.0,49456.0,1152.0,2019,4
37,"Fidelity National Information Services, Inc.",IQ10081196,3078.0,15.0,3257.0,989.0,82474.0,2199.0,33117.0,20377.0,477.0,49357.0,1373.0,2020,1
38,"Fidelity National Information Services, Inc.",IQ10081196,2962.0,20.0,3254.0,916.0,82642.0,2063.0,33409.0,19868.0,-874.0,49233.0,1183.0,2020,2
39,"Fidelity National Information Services, Inc.",IQ10081196,3197.0,19.0,3310.0,1093.0,83195.0,2192.0,33974.0,20189.0,-796.0,49221.0,1826.0,2020,3
40,"Fidelity National Information Services, Inc.",IQ10081196,3316.0,104.0,3454.0,1206.0,83842.0,1576.0,34355.0,20620.0,-1558.0,49487.0,1959.0,2020,4
41,"Becton, Dickinson and Company",IQ103678,1842.005,315.937,1093.19,976.574,10071.27,0.0,5193.337,2720.3140000000003,135.987,4877.933,1249.355,2011,1
42,"Becton, Dickinson and Company",IQ103678,1801.962,312.019,1209.7,935.964,10344.223,0.0,5245.161999999999,2725.599,-291.47700000000003,5099.061,748.5880000000001,2011,2
43,"Becton, Dickinson and Company",IQ103678,1951.889,343.059,1250.195,1029.237,10620.819,0.0,5322.419,2724.737,-252.763,5298.4,1158.037,2011,3
44,"Becton, Dickinson and Company",IQ103678,1988.181,299.97900000000004,1228.637,1017.14,10430.428,304.836,5602.253000000001,2788.7,-306.129,4828.175,1175.282,2011,4
45,"Becton, Dickinson and Company",IQ103678,1831.72,262.985,1139.081,931.255,11413.363,0.0,6685.809,4176.088,959.167,4727.554,2196.278,2012,1
46,"Becton, Dickinson and Company",IQ103678,1928.961,291.034,1237.85,987.777,11195.392,0.0,6719.104,4170.473,-681.6560000000001,4476.288,1839.49,2012,2
47,"Becton, Dickinson and Company",IQ103678,1980.53,326.865,1160.344,1033.135,11024.864,0.0,6790.36,4171.379,-333.86400000000003,4234.504,1658.719,2012,3
48,"Becton, Dickinson and Company",IQ103678,1966.789,289.116,1250.0,1000.833,11361.0,350.0,7225.0,4166.0,-313.647,4136.0,1671.0,2012,4
49,"Becton, Dickinson and Company",IQ103678,1900.0,625.0,1167.722,1006.0,11629.437,0.0,7159.968000000001,4169.835,-379.0,4469.469,1917.472,2013,1
50,"Becton, Dickinson and Company",IQ103678,2000.0,276.0,1220.014,1018.0,11629.923,0.0,7041.141,4169.513,-121.0,4588.782,2023.86,2013,2
51,"Becton, Dickinson and Company",IQ103678,2053.0,302.0,1254.595,1060.0,11587.047,0.0,6870.526999999999,3969.999,-330.0,4716.52,1962.086,2013,3
52,"Becton, Dickinson and Company",IQ103678,2101.0,90.0,1240.0,1087.0,12149.0,333.0,7106.0,3970.0,-138.0,5043.0,1890.0,2013,4
53,"Becton, Dickinson and Company",IQ103678,2015.0,271.0,1113.0,1035.0,12035.0,0.0,6957.0,3969.0,-298.0,5078.0,1679.0,2014,1
54,"Becton, Dickinson and Company",IQ103678,2072.0,287.0,1130.0,1053.0,12250.0,0.0,6935.0,3966.0,-124.0,5315.0,1731.0,2014,2
